[2026-05-18 07:27:53,675: INFO: main: welcome to our custom log]
[2026-05-18 12:04:40,051: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 12:04:40,075: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 12:04:40,095: INFO: common: created directory at: artifacts]
[2026-05-18 12:04:40,101: INFO: common: created directory at: artifacts/data_ingestion]
[2026-05-18 12:04:40,105: INFO: 170364457: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 12:04:55,548: INFO: 170364457: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 13:38:16,477: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-05-18 13:38:16,477: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 13:38:16,477: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 13:38:16,491: INFO: common: created directory at: artifacts]
[2026-05-18 13:38:16,495: INFO: common: created directory at: artifacts/data_ingestion]
[2026-05-18 13:38:16,497: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 13:38:31,377: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 13:38:33,113: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-05-18 17:04:09,327: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 17:04:09,355: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:04:09,378: INFO: common: created directory at: artifacts]
[2026-05-18 17:06:33,159: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 17:06:33,168: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:06:33,175: INFO: common: created directory at: artifacts]
[2026-05-18 17:06:34,854: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 17:06:34,865: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:06:34,873: INFO: common: created directory at: artifacts]
[2026-05-18 17:06:36,075: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 17:06:36,083: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:06:36,086: INFO: common: created directory at: artifacts]
[2026-05-18 17:07:46,179: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 17:07:46,188: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:07:46,192: INFO: common: created directory at: artifacts]
[2026-05-18 17:07:47,648: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 17:07:47,658: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:07:47,662: INFO: common: created directory at: artifacts]
[2026-05-18 17:10:25,929: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 17:10:25,950: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:10:25,954: INFO: common: created directory at: artifacts]
[2026-05-18 17:29:08,348: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-05-18 17:29:08,359: INFO: common: yaml file: C:\DL Proj\kidney-disease-classification-deeplearning\config\config.yaml loaded successfully]
[2026-05-18 17:29:08,365: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 17:29:08,365: INFO: common: created directory at: artifacts]
[2026-05-18 17:29:08,369: INFO: common: created directory at: artifacts/data_ingestion]
[2026-05-18 17:29:08,371: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 17:29:24,676: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 17:29:26,413: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-05-18 18:03:56,537: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-05-18 18:03:56,557: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 18:03:56,564: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 18:03:56,574: INFO: common: created directory at: artifacts]
[2026-05-18 18:03:56,577: INFO: common: created directory at: artifacts/data_ingestion]
[2026-05-18 18:03:56,583: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 18:04:12,002: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-18 18:04:13,740: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-05-18 18:04:13,740: INFO: main: *******************]
[2026-05-18 18:04:13,740: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2026-05-18 18:04:13,746: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-05-18 18:04:13,750: INFO: common: yaml file: params.yaml loaded successfully]
[2026-05-18 18:04:13,750: INFO: common: created directory at: artifacts]
[2026-05-18 18:04:13,750: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-05-18 18:04:29,584: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-05-18 18:04:30,199: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
